trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
16002511,06:51:00,06:51:00,5559,1,0,0
16002511,06:52:00,06:52:00,5560,2,0,0
16002511,06:52:00,06:52:00,5561,3,0,0
16002511,06:53:00,06:53:00,1383,4,0,0
16002511,06:55:00,06:55:00,1593,5,0,0
16002511,06:55:00,06:55:00,1382,6,0,0
16002511,06:57:00,06:57:00,1595,7,0,0
16002511,06:58:00,06:58:00,1596,8,0,0
16002511,07:00:00,07:00:00,1418,9,0,0
16002512,07:05:00,07:05:00,1418,0,0,0
16002512,07:05:00,07:05:00,1419,1,0,0
16002512,07:08:00,07:08:00,1460,2,0,0
16002512,07:09:00,07:09:00,1586,3,0,0
16002512,07:09:00,07:09:00,1587,4,0,0
16002512,07:11:00,07:11:00,1592,5,0,0
16002512,07:12:00,07:12:00,5551,6,0,0
16002512,07:13:00,07:13:00,5552,7,0,0
16002512,07:15:00,07:15:00,5549,8,0,0
16002513,07:20:00,07:20:00,5549,0,0,0
16002513,07:21:00,07:21:00,5559,1,0,0
16002513,07:22:00,07:22:00,5560,2,0,0
16002513,07:22:00,07:22:00,5561,3,0,0
16002513,07:23:00,07:23:00,1383,4,0,0
16002513,07:25:00,07:25:00,1593,5,0,0
16002513,07:25:00,07:25:00,1382,6,0,0
16002513,07:27:00,07:27:00,1595,7,0,0
16002513,07:28:00,07:28:00,1596,8,0,0
16002513,07:30:00,07:30:00,1418,9,0,0
16002514,07:35:00,07:35:00,1418,0,0,0
16002514,07:35:00,07:35:00,1419,1,0,0
16002514,07:39:00,07:39:00,1460,2,0,0
16002514,07:41:00,07:41:00,1586,3,0,0
16002514,07:42:00,07:42:00,1587,4,0,0
16002514,07:45:00,07:45:00,1592,5,0,0
16002514,07:46:00,07:46:00,5551,6,0,0
16002514,07:47:00,07:47:00,5552,7,0,0
16002514,07:50:00,07:50:00,5549,8,0,0
16002515,07:50:00,07:50:00,5549,0,0,0
16002515,07:51:00,07:51:00,5559,1,0,0
16002515,07:53:00,07:53:00,5560,2,0,0
16002515,07:53:00,07:53:00,5561,3,0,0
16002515,07:55:00,07:55:00,1383,4,0,0
16002515,07:58:00,07:58:00,1593,5,0,0
16002515,07:58:00,07:58:00,1382,6,0,0
16002515,08:01:00,08:01:00,1595,7,0,0
16002515,08:03:00,08:03:00,1596,8,0,0
16002515,08:05:00,08:05:00,1418,9,0,0
16002516,08:05:00,08:05:00,1418,0,0,0
16002516,08:05:00,08:05:00,1419,1,0,0
16002516,08:08:00,08:08:00,1460,2,0,0
16002516,08:09:00,08:09:00,1586,3,0,0
16002516,08:09:00,08:09:00,1587,4,0,0
16002516,08:11:00,08:11:00,1592,5,0,0
16002516,08:12:00,08:12:00,5551,6,0,0
16002516,08:13:00,08:13:00,5552,7,0,0
16002516,08:15:00,08:15:00,5549,8,0,0
16002517,08:20:00,08:20:00,5549,0,0,0
16002517,08:21:00,08:21:00,5559,1,0,0
16002517,08:22:00,08:22:00,5560,2,0,0
16002517,08:22:00,08:22:00,5561,3,0,0
16002517,08:23:00,08:23:00,1383,4,0,0
16002517,08:25:00,08:25:00,1593,5,0,0
16002517,08:25:00,08:25:00,1382,6,0,0
16002517,08:27:00,08:27:00,1595,7,0,0
16002517,08:28:00,08:28:00,1596,8,0,0
16002517,08:30:00,08:30:00,1418,9,0,0
16002518,08:35:00,08:35:00,1418,0,0,0
16002518,08:35:00,08:35:00,1419,1,0,0
16002518,08:38:00,08:38:00,1460,2,0,0
16002518,08:39:00,08:39:00,1586,3,0,0
16002518,08:39:00,08:39:00,1587,4,0,0
16002518,08:41:00,08:41:00,1592,5,0,0
16002518,08:42:00,08:42:00,5551,6,0,0
16002518,08:43:00,08:43:00,5552,7,0,0
16002518,08:45:00,08:45:00,5549,8,0,0
16002519,08:50:00,08:50:00,5549,0,0,0
16002519,08:51:00,08:51:00,5559,1,0,0
16002519,08:52:00,08:52:00,5560,2,0,0
16002519,08:52:00,08:52:00,5561,3,0,0
16002519,08:53:00,08:53:00,1383,4,0,0
16002519,08:55:00,08:55:00,1593,5,0,0
16002519,08:55:00,08:55:00,1382,6,0,0
