route_id,service_id,trip_id,trip_headsign,shape_id,direction_id
30120011,21648,16002504,PAFOS AIRPORT,30120011,0
30120012,21648,16002505,KARAVELLA ST.,30120012,1
30170011,21648,16002506,APHRODITE BATHS,30170011,0
30170012,21648,16002507,POLIS CHRYSOCHOUS,30170012,1
30090012,21648,16002508,HARBOUR STATION,30090012,1
30090021,21648,16002509,MUN MARKET ST,30090021,0
30090012,21648,16002510,HARBOUR STATION,30090012,1
30090011,21648,16002511,MUN MARKET ST,30090011,0
30090012,21648,16002512,HARBOUR STATION,30090012,1
30090011,21648,16002513,MUN MARKET ST,30090011,0
30090012,21648,16002514,HARBOUR STATION,30090012,1
30090011,21648,16002515,MUN MARKET ST,30090011,0
30090012,21648,16002516,HARBOUR STATION,30090012,1
30090011,21648,16002517,MUN MARKET ST,30090011,0
30090012,21648,16002518,HARBOUR STATION,30090012,1
30090011,21648,16002519,MUN MARKET ST,30090011,0
30090012,21648,16002520,HARBOUR STATION,30090012,1
30090011,21648,16002521,MUN MARKET ST,30090011,0
30090012,21648,16002522,HARBOUR STATION,30090012,1
30090011,21648,16002523,MUN MARKET ST,30090011,0
30090012,21648,16002524,HARBOUR STATION,30090012,1
30090011,21648,16002525,MUN MARKET ST,30090011,0
30090012,21648,16002526,HARBOUR STATION,30090012,1
30090011,21648,16002527,MUN MARKET ST,30090011,0
30090012,21648,16002528,HARBOUR STATION,30090012,1
30090011,21648,16002529,MUN MARKET ST,30090011,0
30090012,21648,16002530,HARBOUR STATION,30090012,1
30090011,21648,16002531,MUN MARKET ST,30090011,0
30090012,21648,16002532,HARBOUR STATION,30090012,1
30090011,21648,16002533,MUN MARKET ST,30090011,0
30090012,21648,16002534,HARBOUR STATION,30090012,1
30090011,21648,16002535,MUN MARKET ST,30090011,0
30090012,21648,16002536,HARBOUR STATION,30090012,1
30090011,21648,16002537,MUN MARKET ST,30090011,0
30020011,21648,16002538,TOMBS OF KINGS ST,30020011,0
30020012,21648,16002539,TOWN CENTER,30020012,1
30020011,21648,16002540,TOMBS OF KINGS ST,30020011,0
30020012,21648,16002541,TOWN CENTER,30020012,1
30020011,21648,16002542,TOMBS OF KINGS ST,30020011,0
30020012,21648,16002543,TOWN CENTER,30020012,1
30020011,21648,16002544,TOMBS OF KINGS ST,30020011,0
30020012,21648,16002545,TOWN CENTER,30020012,1
30020011,21648,16002546,TOMBS OF KINGS ST,30020011,0
30020012,21648,16002547,TOWN CENTER,30020012,1
30020011,21648,16002548,TOMBS OF KINGS ST,30020011,0
30020012,21648,16002549,TOWN CENTER,30020012,1
30140011,21648,16002550,CORAL BAY,30140011,0
30160011,21648,16002551,TOMBS OF KINGS ST,30160011,0
30100011,21648,16002552,GEROSK. BEACH-WP,30100011,0
30100012,21648,16002553,TOMBS OF KINGS ST,30100012,1
30100011,21648,16002554,GEROSK. BEACH-WP,30100011,0
30100012,21648,16002555,TOMBS OF KINGS ST,30100012,1
30100011,21648,16002556,GEROSK. BEACH-WP,30100011,0
30100012,21648,16002557,TOMBS OF KINGS ST,30100012,1
30100011,21648,16002558,GEROSK. BEACH-WP,30100011,0
30100012,21648,16002559,TOMBS OF KINGS ST,30100012,1
30100011,21648,16002560,GEROSK. BEACH-WP,30100011,0
30100012,21648,16002561,TOMBS OF KINGS ST,30100012,1
30100011,21648,16002562,GEROSK. BEACH-WP,30100011,0
30100012,21648,16002563,TOMBS OF KINGS ST,30100012,1
30100011,21648,16002564,GEROSK. BEACH-WP,30100011,0
30100012,21648,16002565,TOMBS OF KINGS ST,30100012,1
30100011,21648,16002566,GEROSK. BEACH-WP,30100011,0
30100012,21648,16002567,TOMBS OF KINGS ST,30100012,1
30160011,21648,16002568,TOMBS OF KINGS ST,30160011,0
30140011,21648,16002569,CORAL BAY,30140011,0
30140012,21648,16002570,TOMBS OF KINGS ST,30140012,1
30140011,21648,16002571,CORAL BAY,30140011,0
30140012,21648,16002572,TOMBS OF KINGS ST,30140012,1
30140011,21648,16002573,CORAL BAY,30140011,0
30140012,21648,16002574,TOMBS OF KINGS ST,30140012,1
30140011,21648,16002575,CORAL BAY,30140011,0
30140012,21648,16002576,TOMBS OF KINGS ST,30140012,1
30220031,21648,16002577,APHRODITE HILLS,30220031,0
30220012,21648,16002578,HARBOUR STATION,30220012,1
30140011,21648,16002579,CORAL BAY,30140011,0
30140012,21648,16002580,TOMBS OF KINGS ST,30140012,1
30140011,21648,16002581,CORAL BAY,30140011,0
30140012,21648,16002582,TOMBS OF KINGS ST,30140012,1
30140011,21648,16002583,CORAL BAY,30140011,0
30140012,21648,16002584,TOMBS OF KINGS ST,30140012,1
30140011,21648,16002585,CORAL BAY,30140011,0
30140012,21648,16002586,TOMBS OF KINGS ST,30140012,1
30140011,21648,16002587,CORAL BAY,30140011,0
30140012,21648,16002588,TOMBS OF KINGS ST,30140012,1
30140011,21648,16002589,CORAL BAY,30140011,0
30140012,21648,16002590,TOMBS OF KINGS ST,30140012,1
30140011,21648,16002591,CORAL BAY,30140011,0
30100011,21648,16002592,GEROSK. BEACH-WP,30100011,0
30100012,21648,16002593,TOMBS OF KINGS ST,30100012,1
30420011,21648,16002594,AG. GEORGIOS PEG.,30420011,0
30420012,21648,16002595,CORAL BAY,30420012,1
30420011,21648,16002596,AG. GEORGIOS PEG.,30420011,0
30420012,21648,16002597,CORAL BAY,30420012,1
30420011,21648,16002598,AG. GEORGIOS PEG.,30420011,0
30420012,21648,16002599,CORAL BAY,30420012,1
30420011,21648,16002600,AG. GEORGIOS PEG.,30420011,0
30420012,21648,16002601,CORAL BAY,30420012,1
30420011,21648,16002602,AG. GEORGIOS PEG.,30420011,0
30420012,21648,16002603,CORAL BAY,30420012,1
30420011,21648,16002604,AG. GEORGIOS PEG.,30420011,0
30420012,21648,16002605,CORAL BAY,30420012,1
30420011,21648,16002606,AG. GEORGIOS PEG.,30420011,0
30420012,21648,16002607,CORAL BAY,30420012,1
30420011,21648,16002608,AG. GEORGIOS PEG.,30420011,0
30420012,21648,16002609,CORAL BAY,30420012,1
30420011,21648,16002610,AG. GEORGIOS PEG.,30420011,0
30420012,21648,16002611,CORAL BAY,30420012,1
30110011,21648,16002612,PAFOS AIRPORT,30110011,0
30110012,21648,16002613,TOMBS OF KINGS ST,30110012,1
30110011,21648,16002614,PAFOS AIRPORT,30110011,0
30110012,21648,16002615,TOMBS OF KINGS ST,30110012,1
30110011,21648,16002616,PAFOS AIRPORT,30110011,0
30110012,21648,16002617,TOMBS OF KINGS ST,30110012,1
30110011,21648,16002618,PAFOS AIRPORT,30110011,0
30110012,21648,16002619,TOMBS OF KINGS ST,30110012,1
30110011,21648,16002620,PAFOS AIRPORT,30110011,0
30110012,21648,16002621,TOMBS OF KINGS ST,30110012,1
30350011,21648,16002622,KARAVELLA ST.,30350011,0
30350012,21648,16002623,POLIS CHRYSOCHOUS,30350012,1
30350011,21648,16002624,KARAVELLA ST.,30350011,0
30350012,21648,16002625,POLIS CHRYSOCHOUS,30350012,1
30140011,21648,16002626,CORAL BAY,30140011,0
30140012,21648,16002627,TOMBS OF KINGS ST,30140012,1
30140011,21648,16002628,CORAL BAY,30140011,0
30140012,21648,16002629,TOMBS OF KINGS ST,30140012,1
30140011,21648,16002630,CORAL BAY,30140011,0
30140012,21648,16002631,TOMBS OF KINGS ST,30140012,1
30140011,21648,16002632,CORAL BAY,30140011,0
30140012,21648,16002633,TOMBS OF KINGS ST,30140012,1
30140011,21648,16002634,CORAL BAY,30140011,0
30140012,21648,16002635,TOMBS OF KINGS ST,30140012,1
30120011,21648,16002636,PAFOS AIRPORT,30120011,0
30120012,21648,16002637,KARAVELLA ST.,30120012,1
30160011,21648,16002638,TOMBS OF KINGS ST,30160011,0
30160012,21648,16002639,KARAVELLA ST.,30160012,1
30160011,21648,16002640,TOMBS OF KINGS ST,30160011,0
30160012,21648,16002641,KARAVELLA ST.,30160012,1
30160011,21648,16002642,TOMBS OF KINGS ST,30160011,0
30160012,21648,16002643,KARAVELLA ST.,30160012,1
30160011,21648,16002644,TOMBS OF KINGS ST,30160011,0
30100011,21648,16002645,GEROSK. BEACH-WP,30100011,0
30100012,21648,16002646,TOMBS OF KINGS ST,30100012,1
30100011,21648,16002647,GEROSK. BEACH-WP,30100011,0
30100012,21648,16002648,TOMBS OF KINGS ST,30100012,1
30100011,21648,16002649,GEROSK. BEACH-WP,30100011,0
30100012,21648,16002650,TOMBS OF KINGS ST,30100012,1
30100011,21648,16002651,GEROSK. BEACH-WP,30100011,0
30100012,21648,16002652,TOMBS OF KINGS ST,30100012,1
30100011,21648,16002653,GEROSK. BEACH-WP,30100011,0
30100012,21648,16002654,TOMBS OF KINGS ST,30100012,1
30100011,21648,16002655,GEROSK. BEACH-WP,30100011,0
30100012,21648,16002656,TOMBS OF KINGS ST,30100012,1
30100011,21648,16002657,GEROSK. BEACH-WP,30100011,0
30100012,21648,16002658,TOMBS OF KINGS ST,30100012,1
30020011,21648,16002659,TOMBS OF KINGS ST,30020011,0
30020012,21648,16002660,TOWN CENTER,30020012,1
30140011,21648,16002661,CORAL BAY,30140011,0
30140012,21648,16002662,TOMBS OF KINGS ST,30140012,1
30140011,21648,16002663,CORAL BAY,30140011,0
30140012,21648,16002664,TOMBS OF KINGS ST,30140012,1
30140011,21648,16002665,CORAL BAY,30140011,0
30140012,21648,16002666,TOMBS OF KINGS ST,30140012,1
30140011,21648,16002667,CORAL BAY,30140011,0
30140012,21648,16002668,TOMBS OF KINGS ST,30140012,1
30140011,21648,16002669,CORAL BAY,30140011,0
30140012,21648,16002670,TOMBS OF KINGS ST,30140012,1
30140011,21648,16002671,CORAL BAY,30140011,0
30170011,21648,16002672,APHRODITE BATHS,30170011,0
30170012,21648,16002673,POLIS CHRYSOCHOUS,30170012,1
30100011,21648,16002674,GEROSK. BEACH-WP,30100011,0
30100012,21648,16002675,TOMBS OF KINGS ST,30100012,1
30100011,21648,16002676,GEROSK. BEACH-WP,30100011,0
30100012,21648,16002677,TOMBS OF KINGS ST,30100012,1
30100011,21648,16002678,GEROSK. BEACH-WP,30100011,0
30100012,21648,16002679,TOMBS OF KINGS ST,30100012,1
30100011,21648,16002680,GEROSK. BEACH-WP,30100011,0
30100012,21648,16002681,TOMBS OF KINGS ST,30100012,1
30100011,21648,16002682,GEROSK. BEACH-WP,30100011,0
30100012,21648,16002683,TOMBS OF KINGS ST,30100012,1
30100011,21648,16002684,GEROSK. BEACH-WP,30100011,0
30100012,21648,16002685,TOMBS OF KINGS ST,30100012,1
30100011,21648,16002686,GEROSK. BEACH-WP,30100011,0
30100012,21648,16002687,TOMBS OF KINGS ST,30100012,1
30100011,21648,16002688,GEROSK. BEACH-WP,30100011,0
30100012,21648,16002689,TOMBS OF KINGS ST,30100012,1
30100011,21648,16002690,GEROSK. BEACH-WP,30100011,0
30100012,21648,16002691,TOMBS OF KINGS ST,30100012,1
30100011,21648,16002692,GEROSK. BEACH-WP,30100011,0
30160012,21648,16002693,KARAVELLA ST.,30160012,1
30160011,21648,16002694,TOMBS OF KINGS ST,30160011,0
30160012,21648,16002695,KARAVELLA ST.,30160012,1
30160011,21648,16002696,TOMBS OF KINGS ST,30160011,0
30160012,21648,16002697,KARAVELLA ST.,30160012,1
30160011,21648,16002698,TOMBS OF KINGS ST,30160011,0
30160012,21648,16002699,KARAVELLA ST.,30160012,1
30160011,21648,16002700,TOMBS OF KINGS ST,30160011,0
30160012,21648,16002701,KARAVELLA ST.,30160012,1
30160011,21648,16002702,TOMBS OF KINGS ST,30160011,0
30160012,21648,16002703,KARAVELLA ST.,30160012,1
30160011,21648,16002704,TOMBS OF KINGS ST,30160011,0
30160012,21648,16002705,KARAVELLA ST.,30160012,1
30160011,21648,16002706,TOMBS OF KINGS ST,30160011,0
30160012,21648,16002707,KARAVELLA ST.,30160012,1
30160011,21648,16002708,TOMBS OF KINGS ST,30160011,0
30160012,21648,16002709,KARAVELLA ST.,30160012,1
30160011,21648,16002710,TOMBS OF KINGS ST,30160011,0
30150011,21648,16002711,AG. GEORGIOS PEG.,30150011,0
30150012,21648,16002712,CORAL BAY,30150012,1
30150011,21648,16002713,AG. GEORGIOS PEG.,30150011,0
30150012,21648,16002714,CORAL BAY,30150012,1
30150011,21648,16002715,AG. GEORGIOS PEG.,30150011,0
30150012,21648,16002716,CORAL BAY,30150012,1
30150011,21648,16002717,AG. GEORGIOS PEG.,30150011,0
30150012,21648,16002718,CORAL BAY,30150012,1
30150011,21648,16002719,AG. GEORGIOS PEG.,30150011,0
30100011,21648,16002720,GEROSK. BEACH-WP,30100011,0
30100012,21648,16002721,TOMBS OF KINGS ST,30100012,1
30100011,21648,16002722,GEROSK. BEACH-WP,30100011,0
30100012,21648,16002723,TOMBS OF KINGS ST,30100012,1
30100011,21648,16002724,GEROSK. BEACH-WP,30100011,0
30100012,21648,16002725,TOMBS OF KINGS ST,30100012,1
30100011,21648,16002726,GEROSK. BEACH-WP,30100011,0
30100012,21648,16002727,TOMBS OF KINGS ST,30100012,1
30100011,21648,16002728,GEROSK. BEACH-WP,30100011,0
30100012,21648,16002729,TOMBS OF KINGS ST,30100012,1
30100011,21648,16002730,GEROSK. BEACH-WP,30100011,0
30140011,21648,16002731,CORAL BAY,30140011,0
30140012,21648,16002732,TOMBS OF KINGS ST,30140012,1
30140011,21648,16002733,CORAL BAY,30140011,0
30140012,21648,16002734,TOMBS OF KINGS ST,30140012,1
30140011,21648,16002735,CORAL BAY,30140011,0
30140012,21648,16002736,TOMBS OF KINGS ST,30140012,1
30140011,21648,16002737,CORAL BAY,30140011,0
30140012,21648,16002738,TOMBS OF KINGS ST,30140012,1
30170011,21648,16002739,APHRODITE BATHS,30170011,0
30170012,21648,16002740,POLIS CHRYSOCHOUS,30170012,1
30170011,21648,16002741,APHRODITE BATHS,30170011,0
30170012,21648,16002742,POLIS CHRYSOCHOUS,30170012,1
30170011,21648,16002743,APHRODITE BATHS,30170011,0
30170012,21648,16002744,POLIS CHRYSOCHOUS,30170012,1
30170011,21648,16002745,APHRODITE BATHS,30170011,0
30170012,21648,16002746,POLIS CHRYSOCHOUS,30170012,1
30170011,21648,16002747,APHRODITE BATHS,30170011,0
30170012,21648,16002748,POLIS CHRYSOCHOUS,30170012,1
30380012,21648,16002749,CORAL BAY,30380012,1
30380011,21648,16002750,POLIS CHRYSOCHOUS,30380011,0
30380012,21648,16002751,CORAL BAY,30380012,1
30380011,21648,16002752,POLIS CHRYSOCHOUS,30380011,0
30330012,21648,16002753,PACHYAMMOS,30330012,1
30330011,21648,16002754,POLIS CHRYSOCHOUS,30330011,0
30350011,21648,16002755,KARAVELLA ST.,30350011,0
30350012,21648,16002756,POLIS CHRYSOCHOUS,30350012,1
30350011,21648,16002757,KARAVELLA ST.,30350011,0
30350012,21648,16002758,POLIS CHRYSOCHOUS,30350012,1
30100011,21648,16002759,GEROSK. BEACH-WP,30100011,0
30100012,21648,16002760,TOMBS OF KINGS ST,30100012,1
30100011,21648,16002761,GEROSK. BEACH-WP,30100011,0
30100012,21648,16002762,TOMBS OF KINGS ST,30100012,1
30100011,21648,16002763,GEROSK. BEACH-WP,30100011,0
30100012,21648,16002764,TOMBS OF KINGS ST,30100012,1
30100011,21648,16002765,GEROSK. BEACH-WP,30100011,0
30100012,21648,16002766,TOMBS OF KINGS ST,30100012,1
30100011,21648,16002767,GEROSK. BEACH-WP,30100011,0
30100012,21648,16002768,TOMBS OF KINGS ST,30100012,1
30160012,21648,16002769,KARAVELLA ST.,30160012,1
30160011,21648,16002770,TOMBS OF KINGS ST,30160011,0
30160012,21648,16002771,KARAVELLA ST.,30160012,1
30160011,21648,16002772,TOMBS OF KINGS ST,30160011,0
30160012,21648,16002773,KARAVELLA ST.,30160012,1
30160011,21648,16002774,TOMBS OF KINGS ST,30160011,0
30160012,21648,16002775,KARAVELLA ST.,30160012,1
30160011,21648,16002776,TOMBS OF KINGS ST,30160011,0
30160012,21648,16002777,KARAVELLA ST.,30160012,1
30160011,21648,16002778,TOMBS OF KINGS ST,30160011,0
30160012,21648,16002779,KARAVELLA ST.,30160012,1
30160011,21648,16002780,TOMBS OF KINGS ST,30160011,0
30160012,21648,16002781,KARAVELLA ST.,30160012,1
30160011,21648,16002782,TOMBS OF KINGS ST,30160011,0
30160012,21648,16002783,KARAVELLA ST.,30160012,1
30160011,21648,16002784,TOMBS OF KINGS ST,30160011,0
30160012,21648,16002785,KARAVELLA ST.,30160012,1
30160011,21648,16002786,TOMBS OF KINGS ST,30160011,0
30160012,21648,16002787,KARAVELLA ST.,30160012,1
30220011,21648,16002788,PETRA TOU ROMIOU,30220011,0
30220012,21648,16002789,HARBOUR STATION,30220012,1
30020011,21648,16002790,TOMBS OF KINGS ST,30020011,0
30020012,21648,16002791,TOWN CENTER,30020012,1
30140011,21648,16002792,CORAL BAY,30140011,0
30140012,21648,16002793,TOMBS OF KINGS ST,30140012,1
30140011,21648,16002794,CORAL BAY,30140011,0
30140012,21648,16002795,TOMBS OF KINGS ST,30140012,1
30140011,21648,16002796,CORAL BAY,30140011,0
30140012,21648,16002797,TOMBS OF KINGS ST,30140012,1
30140011,21648,16002798,CORAL BAY,30140011,0
30140012,21648,16002799,TOMBS OF KINGS ST,30140012,1
30140011,21648,16002800,CORAL BAY,30140011,0
30140012,21648,16002801,TOMBS OF KINGS ST,30140012,1
30140011,21648,16002802,CORAL BAY,30140011,0
30140012,21648,16002803,TOMBS OF KINGS ST,30140012,1
30140011,21648,16002804,CORAL BAY,30140011,0
30140012,21648,16002805,TOMBS OF KINGS ST,30140012,1
30140011,21648,16002806,CORAL BAY,30140011,0
30140012,21648,16002807,TOMBS OF KINGS ST,30140012,1
30120011,21648,16002808,PAFOS AIRPORT,30120011,0
30120012,21648,16002809,KARAVELLA ST.,30120012,1
30090011,21648,16002810,MUN MARKET ST,30090011,0
30090012,21648,16002811,HARBOUR STATION,30090012,1
30090011,21648,16002812,MUN MARKET ST,30090011,0
30090012,21648,16002813,HARBOUR STATION,30090012,1
30090011,21648,16002814,MUN MARKET ST,30090011,0
30090012,21648,16002815,HARBOUR STATION,30090012,1
30090011,21648,16002816,MUN MARKET ST,30090011,0
30090012,21648,16002817,HARBOUR STATION,30090012,1
30090011,21648,16002818,MUN MARKET ST,30090011,0
30090012,21648,16002819,HARBOUR STATION,30090012,1
30090011,21648,16002820,MUN MARKET ST,30090011,0
30090012,21648,16002821,HARBOUR STATION,30090012,1
30090011,21648,16002822,MUN MARKET ST,30090011,0
30020011,21648,16002823,TOMBS OF KINGS ST,30020011,0
30020012,21648,16002824,TOWN CENTER,30020012,1
30330011,21648,16002825,POLIS CHRYSOCHOUS,30330011,0
30330012,21648,16002826,PACHYAMMOS,30330012,1
30110011,21648,16002827,PAFOS AIRPORT,30110011,0
30110012,21648,16002828,TOMBS OF KINGS ST,30110012,1
30110011,21648,16002829,PAFOS AIRPORT,30110011,0
30110012,21648,16002830,TOMBS OF KINGS ST,30110012,1
30220011,21648,16002831,PETRA TOU ROMIOU,30220011,0
30220012,21648,16002832,HARBOUR STATION,30220012,1
30120011,21648,16002833,PAFOS AIRPORT,30120011,0
30120012,21648,16002834,KARAVELLA ST.,30120012,1
30120011,21648,16002835,PAFOS AIRPORT,30120011,0
30120012,21648,16002836,KARAVELLA ST.,30120012,1
30140011,21648,16002837,CORAL BAY,30140011,0
30140012,21648,16002838,TOMBS OF KINGS ST,30140012,1
30160011,21648,16002839,TOMBS OF KINGS ST,30160011,0
30160012,21648,16002840,KARAVELLA ST.,30160012,1
30160011,21648,16002841,TOMBS OF KINGS ST,30160011,0
30350011,21648,16002842,KARAVELLA ST.,30350011,0
30350012,21648,16002843,POLIS CHRYSOCHOUS,30350012,1
30100011,21648,16002844,GEROSK. BEACH-WP,30100011,0
30100012,21648,16002845,TOMBS OF KINGS ST,30100012,1
30140011,21648,16002846,CORAL BAY,30140011,0
30140012,21648,16002847,TOMBS OF KINGS ST,30140012,1
30140011,21648,16002848,CORAL BAY,30140011,0
30140012,21648,16002849,TOMBS OF KINGS ST,30140012,1
30140011,21648,16002850,CORAL BAY,30140011,0
30140012,21648,16002851,TOMBS OF KINGS ST,30140012,1
30140011,21648,16002852,CORAL BAY,30140011,0
30140011,21648,16002853,CORAL BAY,30140011,0
30140012,21648,16002854,TOMBS OF KINGS ST,30140012,1
30350011,21648,16002855,KARAVELLA ST.,30350011,0
30220011,21648,16002856,PETRA TOU ROMIOU,30220011,0
30100011,21648,16002857,GEROSK. BEACH-WP,30100011,0
30090012,21648,16002858,HARBOUR STATION,30090012,1
30090011,21648,16002859,MUN MARKET ST,30090011,0
30090012,21648,16002860,HARBOUR STATION,30090012,1
30090011,21648,16002861,MUN MARKET ST,30090011,0
30090012,21648,16002862,HARBOUR STATION,30090012,1
30090011,21648,16002863,MUN MARKET ST,30090011,0
30090012,21648,16002864,HARBOUR STATION,30090012,1
30090011,21648,16002865,MUN MARKET ST,30090011,0
30090012,21648,16002866,HARBOUR STATION,30090012,1
30090011,21648,16002867,MUN MARKET ST,30090011,0
30090012,21648,16002868,HARBOUR STATION,30090012,1
30090011,21648,16002869,MUN MARKET ST,30090011,0
30090012,21648,16002870,HARBOUR STATION,30090012,1
30090011,21648,16002871,MUN MARKET ST,30090011,0
30090012,21648,16002872,HARBOUR STATION,30090012,1
30090011,21648,16002873,MUN MARKET ST,30090011,0
30140012,21648,16002874,TOMBS OF KINGS ST,30140012,1
30160011,21648,16002875,TOMBS OF KINGS ST,30160011,0
30160012,21648,16002876,KARAVELLA ST.,30160012,1
30160011,21648,16002877,TOMBS OF KINGS ST,30160011,0
30160012,21648,16002878,KARAVELLA ST.,30160012,1
30160011,21648,16002879,TOMBS OF KINGS ST,30160011,0
30160012,21648,16002880,KARAVELLA ST.,30160012,1
30160011,21648,16002881,TOMBS OF KINGS ST,30160011,0
30160012,21648,16002882,KARAVELLA ST.,30160012,1
30160012,21648,16002883,KARAVELLA ST.,30160012,1
30160011,21648,16002884,TOMBS OF KINGS ST,30160011,0
30160012,21648,16002885,KARAVELLA ST.,30160012,1
30160011,21648,16002886,TOMBS OF KINGS ST,30160011,0
30160012,21648,16002887,KARAVELLA ST.,30160012,1
30110011,21648,16002888,PAFOS AIRPORT,30110011,0
30110012,21648,16002889,TOMBS OF KINGS ST,30110012,1
30170011,21648,16002890,APHRODITE BATHS,30170011,0
30170012,21648,16002891,POLIS CHRYSOCHOUS,30170012,1
30170011,21648,16002892,APHRODITE BATHS,30170011,0
30170012,21648,16002893,POLIS CHRYSOCHOUS,30170012,1
30170011,21648,16002894,APHRODITE BATHS,30170011,0
30170012,21648,16002895,POLIS CHRYSOCHOUS,30170012,1
30350012,21648,16002896,POLIS CHRYSOCHOUS,30350012,1
30350011,21648,16002897,KARAVELLA ST.,30350011,0
30350012,21648,16002898,POLIS CHRYSOCHOUS,30350012,1
30350011,21648,16002899,KARAVELLA ST.,30350011,0
30350012,21648,16002900,POLIS CHRYSOCHOUS,30350012,1
30380012,21648,16002901,CORAL BAY,30380012,1
30380011,21648,16002902,POLIS CHRYSOCHOUS,30380011,0
30420011,21648,16002903,AG. GEORGIOS PEG.,30420011,0
