service_id,date,exception_type
21648,20251207,1
21648,20251214,1
21648,20251221,1
21711,20250928,1
21711,20251005,1
21711,20251102,1
21711,20251109,1
21711,20251116,1
21711,20251123,1
21711,20251130,1
21711,20251026,1
21711,20251019,1
21711,20251012,1
21724,20250925,1
21724,20250926,1
21724,20250929,1
21724,20250930,1
21724,20251001,1
21724,20251002,1
21724,20251124,1
21724,20251125,1
21724,20251126,1
21724,20251127,1
21724,20251128,1
21724,20251114,1
21724,20251117,1
21724,20251118,1
21724,20251119,1
21724,20251120,1
21724,20251121,1
21724,20251106,1
21724,20251107,1
21724,20251110,1
21724,20251111,1
21724,20251112,1
21724,20251113,1
21724,20251029,1
21724,20251030,1
21724,20251031,1
21724,20251103,1
21724,20251104,1
21724,20251105,1
21724,20251021,1
21724,20251022,1
21724,20251023,1
21724,20251024,1
21724,20251027,1
21724,20251028,1
21724,20251013,1
21724,20251014,1
21724,20251015,1
21724,20251016,1
21724,20251017,1
21724,20251020,1
21724,20251003,1
21724,20251006,1
21724,20251007,1
21724,20251008,1
21724,20251009,1
21724,20251010,1
21888,20250927,1
21888,20251004,1
21888,20251011,1
21888,20251018,1
21888,20251025,1
21888,20251101,1
21888,20251220,1
21888,20251108,1
21888,20251115,1
21888,20251122,1
21888,20251129,1
21888,20251206,1
21888,20251213,1
