service_id,date,exception_type
21712,20250929,1
21712,20250930,1
21712,20251002,1
21712,20251006,1
21712,20251007,1
21712,20251008,1
21712,20251223,1
21712,20251224,1
21712,20251211,1
21712,20251215,1
21712,20251216,1
21712,20251217,1
21712,20251218,1
21712,20251222,1
21712,20251202,1
21712,20251203,1
21712,20251204,1
21712,20251208,1
21712,20251209,1
21712,20251210,1
21712,20251120,1
21712,20251124,1
21712,20251125,1
21712,20251126,1
21712,20251127,1
21712,20251201,1
21712,20251111,1
21712,20251112,1
21712,20251113,1
21712,20251117,1
21712,20251118,1
21712,20251119,1
21712,20251030,1
21712,20251103,1
21712,20251104,1
21712,20251105,1
21712,20251106,1
21712,20251110,1
21712,20251021,1
21712,20251022,1
21712,20251023,1
21712,20251027,1
21712,20251028,1
21712,20251029,1
21712,20251009,1
21712,20251013,1
21712,20251014,1
21712,20251015,1
21712,20251016,1
21712,20251020,1
21713,20250926,1
21713,20251003,1
21713,20251010,1
21713,20251017,1
21713,20251024,1
21713,20251031,1
21713,20251219,1
21713,20251107,1
21713,20251114,1
21713,20251121,1
21713,20251128,1
21713,20251205,1
21713,20251212,1
21714,20250927,1
21714,20251004,1
21714,20251011,1
21714,20251018,1
21714,20251025,1
21714,20251101,1
21714,20251220,1
21714,20251108,1
21714,20251115,1
21714,20251122,1
21714,20251129,1
21714,20251206,1
21714,20251213,1
21715,20250928,1
21715,20251001,1
21715,20251005,1
21715,20251012,1
21715,20251019,1
21715,20251026,1
21715,20251214,1
21715,20251221,1
21715,20251102,1
21715,20251109,1
21715,20251116,1
21715,20251123,1
21715,20251130,1
21715,20251207,1
21890,20250925,1
20891,20250925,1
20891,20250926,1
20891,20250929,1
20891,20250930,1
20891,20251002,1
20891,20251003,1
20891,20251219,1
20891,20251222,1
20891,20251223,1
20891,20251224,1
20891,20251211,1
20891,20251212,1
20891,20251215,1
20891,20251216,1
20891,20251217,1
20891,20251218,1
20891,20251203,1
20891,20251204,1
20891,20251205,1
20891,20251208,1
20891,20251209,1
20891,20251210,1
20891,20251125,1
20891,20251126,1
20891,20251127,1
20891,20251128,1
20891,20251201,1
20891,20251202,1
20891,20251117,1
20891,20251118,1
20891,20251119,1
20891,20251120,1
20891,20251121,1
20891,20251124,1
20891,20251107,1
20891,20251110,1
20891,20251111,1
20891,20251112,1
20891,20251113,1
20891,20251114,1
20891,20251030,1
20891,20251031,1
20891,20251103,1
20891,20251104,1
20891,20251105,1
20891,20251106,1
20891,20251022,1
20891,20251023,1
20891,20251024,1
20891,20251027,1
20891,20251028,1
20891,20251029,1
20891,20251014,1
20891,20251015,1
20891,20251016,1
20891,20251017,1
20891,20251020,1
20891,20251021,1
20891,20251006,1
20891,20251007,1
20891,20251008,1
20891,20251009,1
20891,20251010,1
20891,20251013,1
21648,20251207,1
21648,20251214,1
21648,20251221,1
21711,20250928,1
21711,20251005,1
21711,20251102,1
21711,20251109,1
21711,20251116,1
21711,20251123,1
21711,20251130,1
21711,20251026,1
21711,20251019,1
21711,20251012,1
21724,20250925,1
21724,20250926,1
21724,20250929,1
21724,20250930,1
21724,20251001,1
21724,20251002,1
21724,20251124,1
21724,20251125,1
21724,20251126,1
21724,20251127,1
21724,20251128,1
21724,20251114,1
21724,20251117,1
21724,20251118,1
21724,20251119,1
21724,20251120,1
21724,20251121,1
21724,20251106,1
21724,20251107,1
21724,20251110,1
21724,20251111,1
21724,20251112,1
21724,20251113,1
21724,20251029,1
21724,20251030,1
21724,20251031,1
21724,20251103,1
21724,20251104,1
21724,20251105,1
21724,20251021,1
21724,20251022,1
21724,20251023,1
21724,20251024,1
21724,20251027,1
21724,20251028,1
21724,20251013,1
21724,20251014,1
21724,20251015,1
21724,20251016,1
21724,20251017,1
21724,20251020,1
21724,20251003,1
21724,20251006,1
21724,20251007,1
21724,20251008,1
21724,20251009,1
21724,20251010,1
21888,20250927,1
21888,20251004,1
21888,20251011,1
21888,20251018,1
21888,20251025,1
21888,20251101,1
21888,20251220,1
21888,20251108,1
21888,20251115,1
21888,20251122,1
21888,20251129,1
21888,20251206,1
21888,20251213,1
20881,20250929,1
20881,20250930,1
20881,20251001,1
20881,20251002,1
20881,20251030,1
20881,20251022,1
20881,20251023,1
20881,20251027,1
20881,20251028,1
20881,20251029,1
20881,20251014,1
20881,20251015,1
20881,20251016,1
20881,20251020,1
20881,20251021,1
20881,20251006,1
20881,20251007,1
20881,20251008,1
20881,20251009,1
20881,20251013,1
20882,20250926,1
20882,20251003,1
20882,20251010,1
20882,20251017,1
20882,20251024,1
20882,20251031,1
20883,20250927,1
20883,20251025,1
20883,20251018,1
20883,20251011,1
20883,20251004,1
20884,20250928,1
20884,20251005,1
20884,20251012,1
20884,20251019,1
20884,20251026,1
21889,20250925,1
21215,20250926,1
21215,20250929,1
21215,20250930,1
21215,20251001,1
21215,20251002,1
21215,20251031,1
21215,20251024,1
21215,20251027,1
21215,20251028,1
21215,20251029,1
21215,20251030,1
21215,20251017,1
21215,20251020,1
21215,20251021,1
21215,20251022,1
21215,20251023,1
21215,20251010,1
21215,20251013,1
21215,20251014,1
21215,20251015,1
21215,20251016,1
21215,20251003,1
21215,20251006,1
21215,20251007,1
21215,20251008,1
21215,20251009,1
21893,20250925,1
20852,20251004,1
20852,20251011,1
20852,20251018,1
20852,20251025,1
20852,20251101,1
20852,20251108,1
20852,20251115,1
20852,20251122,1
20852,20251129,1
20852,20251206,1
20852,20251213,1
20852,20251220,1
20860,20251005,1
20860,20251012,1
20860,20251019,1
20860,20251026,1
20860,20251102,1
20860,20251109,1
20860,20251116,1
20860,20251123,1
20860,20251130,1
20860,20251207,1
20860,20251214,1
20860,20251221,1
20876,20250929,1
20876,20250930,1
20876,20251001,1
20876,20251002,1
20876,20251003,1
20876,20251006,1
20876,20251222,1
20876,20251223,1
20876,20251224,1
20876,20251212,1
20876,20251215,1
20876,20251216,1
20876,20251217,1
20876,20251218,1
20876,20251219,1
20876,20251204,1
20876,20251205,1
20876,20251208,1
20876,20251209,1
20876,20251210,1
20876,20251211,1
20876,20251126,1
20876,20251127,1
20876,20251128,1
20876,20251201,1
20876,20251202,1
20876,20251203,1
20876,20251118,1
20876,20251119,1
20876,20251120,1
20876,20251121,1
20876,20251124,1
20876,20251125,1
20876,20251110,1
20876,20251111,1
20876,20251112,1
20876,20251113,1
20876,20251114,1
20876,20251117,1
20876,20251031,1
20876,20251103,1
20876,20251104,1
20876,20251105,1
20876,20251106,1
20876,20251107,1
20876,20251023,1
20876,20251024,1
20876,20251027,1
20876,20251028,1
20876,20251029,1
20876,20251030,1
20876,20251015,1
20876,20251016,1
20876,20251017,1
20876,20251020,1
20876,20251021,1
20876,20251022,1
20876,20251007,1
20876,20251008,1
20876,20251009,1
20876,20251010,1
20876,20251013,1
20876,20251014,1
21847,20250927,1
21848,20250928,1
21854,20250926,1
21892,20250925,1
21613,20250926,1
21613,20251003,1
21613,20251010,1
21613,20251017,1
21613,20251024,1
21613,20251031,1
21613,20251219,1
21613,20251107,1
21613,20251114,1
21613,20251121,1
21613,20251128,1
21613,20251205,1
21613,20251212,1
21660,20250929,1
21660,20250930,1
21660,20251002,1
21660,20251006,1
21660,20251007,1
21660,20251008,1
21660,20251223,1
21660,20251224,1
21660,20251211,1
21660,20251215,1
21660,20251216,1
21660,20251217,1
21660,20251218,1
21660,20251222,1
21660,20251202,1
21660,20251203,1
21660,20251204,1
21660,20251208,1
21660,20251209,1
21660,20251210,1
21660,20251120,1
21660,20251124,1
21660,20251125,1
21660,20251126,1
21660,20251127,1
21660,20251201,1
21660,20251111,1
21660,20251112,1
21660,20251113,1
21660,20251117,1
21660,20251118,1
21660,20251119,1
21660,20251030,1
21660,20251103,1
21660,20251104,1
21660,20251105,1
21660,20251106,1
21660,20251110,1
21660,20251021,1
21660,20251022,1
21660,20251023,1
21660,20251027,1
21660,20251028,1
21660,20251029,1
21660,20251009,1
21660,20251013,1
21660,20251014,1
21660,20251015,1
21660,20251016,1
21660,20251020,1
21661,20250927,1
21661,20251004,1
21661,20251011,1
21661,20251018,1
21661,20251025,1
21661,20251101,1
21661,20251220,1
21661,20251108,1
21661,20251115,1
21661,20251122,1
21661,20251129,1
21661,20251206,1
21661,20251213,1
21663,20250928,1
21663,20251001,1
21663,20251005,1
21663,20251012,1
21663,20251019,1
21663,20251026,1
21663,20251214,1
21663,20251221,1
21663,20251102,1
21663,20251109,1
21663,20251116,1
21663,20251123,1
21663,20251130,1
21663,20251207,1
21891,20250925,1
