service_id,date,exception_type
21613,20250926,1
21613,20251003,1
21613,20251010,1
21613,20251017,1
21613,20251024,1
21613,20251031,1
21613,20251219,1
21613,20251107,1
21613,20251114,1
21613,20251121,1
21613,20251128,1
21613,20251205,1
21613,20251212,1
21660,20250929,1
21660,20250930,1
21660,20251002,1
21660,20251006,1
21660,20251007,1
21660,20251008,1
21660,20251223,1
21660,20251224,1
21660,20251211,1
21660,20251215,1
21660,20251216,1
21660,20251217,1
21660,20251218,1
21660,20251222,1
21660,20251202,1
21660,20251203,1
21660,20251204,1
21660,20251208,1
21660,20251209,1
21660,20251210,1
21660,20251120,1
21660,20251124,1
21660,20251125,1
21660,20251126,1
21660,20251127,1
21660,20251201,1
21660,20251111,1
21660,20251112,1
21660,20251113,1
21660,20251117,1
21660,20251118,1
21660,20251119,1
21660,20251030,1
21660,20251103,1
21660,20251104,1
21660,20251105,1
21660,20251106,1
21660,20251110,1
21660,20251021,1
21660,20251022,1
21660,20251023,1
21660,20251027,1
21660,20251028,1
21660,20251029,1
21660,20251009,1
21660,20251013,1
21660,20251014,1
21660,20251015,1
21660,20251016,1
21660,20251020,1
21661,20250927,1
21661,20251004,1
21661,20251011,1
21661,20251018,1
21661,20251025,1
21661,20251101,1
21661,20251220,1
21661,20251108,1
21661,20251115,1
21661,20251122,1
21661,20251129,1
21661,20251206,1
21661,20251213,1
21663,20250928,1
21663,20251001,1
21663,20251005,1
21663,20251012,1
21663,20251019,1
21663,20251026,1
21663,20251214,1
21663,20251221,1
21663,20251102,1
21663,20251109,1
21663,20251116,1
21663,20251123,1
21663,20251130,1
21663,20251207,1
21891,20250925,1
