trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
15624531,04:45:00,04:45:00,1,0,0,0
15624531,04:50:00,04:50:00,323,1,0,0
15624531,04:55:00,04:55:00,325,2,0,0
15624531,05:00:00,05:00:00,332,3,0,0
15624531,05:02:00,05:02:00,338,4,0,0
15624531,05:05:00,05:05:00,340,5,0,0
15624531,05:08:00,05:08:00,7973,6,0,0
15624531,05:20:00,05:20:00,7060,7,0,0
15624531,05:43:00,05:43:00,7194,8,0,0
15624531,06:00:00,06:00:00,4865,9,0,0
15624531,06:20:00,06:20:00,7881,10,0,0
15624531,06:45:00,06:45:00,7525,11,0,0
15624531,06:50:00,06:50:00,7090,12,0,0
15624531,06:53:00,06:53:00,7078,13,0,0
15624531,06:55:00,06:55:00,1352,14,0,0
15624531,06:58:00,06:58:00,1910,15,0,0
15624531,07:00:00,07:00:00,1297,16,0,0
15624532,08:00:00,08:00:00,1297,0,0,0
15624532,08:02:00,08:02:00,1975,1,0,0
15624532,08:03:00,08:03:00,1303,2,0,0
15624532,08:05:00,08:05:00,7073,3,0,0
15624532,08:10:00,08:10:00,7074,4,0,0
15624532,09:54:00,09:54:00,7973,5,0,0
15624532,09:56:00,09:56:00,339,6,0,0
15624532,09:57:00,09:57:00,337,7,0,0
15624532,09:58:00,09:58:00,333,8,0,0
15624532,09:59:00,09:59:00,326,9,0,0
15624532,09:59:00,09:59:00,324,10,0,0
15624532,10:00:00,10:00:00,1,11,0,0
15624533,05:00:00,05:00:00,1297,0,0,0
15624533,05:01:00,05:01:00,1975,1,0,0
15624533,05:02:00,05:02:00,1303,2,0,0
15624533,05:04:00,05:04:00,7073,3,0,0
15624533,05:05:00,05:05:00,7074,4,0,0
15624533,06:53:00,06:53:00,7973,5,0,0
15624533,06:55:00,06:55:00,339,6,0,0
15624533,06:56:00,06:56:00,337,7,0,0
15624533,06:56:00,06:56:00,333,8,0,0
15624533,06:57:00,06:57:00,326,9,0,0
15624533,06:58:00,06:58:00,324,10,0,0
15624533,06:58:00,06:58:00,1,11,0,0
