route_id,service_id,trip_id,trip_headsign,shape_id,direction_id
50000051,21215,15624531,EAC-PAFOS,50000051,0
50000012,21215,15624532,NICOSIA,50000012,1
50000062,21215,15624533,L. AKRITA (NIC),50000062,1
50000071,21215,15624534,CUT-PAFOS,50000071,0
50010052,21215,15624535,NICOSIA,50010052,1
50010011,21215,15624536,AG.NAPA-PARALIMNI,50010011,0
50010012,21215,15624537,NICOSIA,50010012,1
50010031,21215,15624538,PARALIMNI,50010031,0
50060032,21215,15624539,NICOSIA,50060032,1
50060011,21215,15624540,LIMASSOL,50060011,0
50060042,21215,15624541,NICOSIA,50060042,1
50060041,21215,15624542,NORTH LIMASSOL,50060041,0
50000062,21215,15624543,L. AKRITA (NIC),50000062,1
50000011,21215,15624544,PAFOS,50000011,0
50060012,21215,15624545,NICOSIA,50060012,1
50060021,21215,15624546,LIMASSOL,50060021,0
50060012,21215,15624547,NICOSIA,50060012,1
50060021,21215,15624548,LIMASSOL,50060021,0
50060011,21215,15624549,LIMASSOL,50060011,0
50060012,21215,15624550,NICOSIA,50060012,1
50060011,21215,15624551,LIMASSOL,50060011,0
50060012,21215,15624552,NICOSIA,50060012,1
50040012,21215,15624553,LARNACA,50040012,1
50040011,21215,15624554,LIMASSOL,50040011,0
50040012,21215,15624555,LARNACA,50040012,1
50040011,21215,15624556,LIMASSOL,50040011,0
50000031,21215,15624557,CUT-PAFOS,50000031,0
50000012,21215,15624558,NICOSIA,50000012,1
50010012,21215,15624559,NICOSIA,50010012,1
50010031,21215,15624560,PARALIMNI,50010031,0
50010012,21215,15624561,NICOSIA,50010012,1
50010011,21215,15624562,AG.NAPA-PARALIMNI,50010011,0
50070041,21215,15624563,NICOSIA,50070041,0
50070012,21215,15624564,LARNACA,50070012,1
50070011,21215,15624565,NICOSIA,50070011,0
50070012,21215,15624566,LARNACA,50070012,1
50070011,21215,15624567,NICOSIA,50070011,0
50070042,21215,15624568,LARNACA,50070042,1
50040011,21215,15624569,LIMASSOL,50040011,0
50040012,21215,15624570,LARNACA,50040012,1
50020012,21215,15624571,LARNACA,50020012,1
50020011,21215,15624572,AG.NAPA-PARALIMNI,50020011,0
50020012,21215,15624573,LARNACA,50020012,1
50020011,21215,15624574,AG.NAPA-PARALIMNI,50020011,0
50020012,21215,15624575,LARNACA,50020012,1
50020011,21215,15624576,AG.NAPA-PARALIMNI,50020011,0
50070011,21215,15624577,NICOSIA,50070011,0
50070012,21215,15624578,LARNACA,50070012,1
50070011,21215,15624579,NICOSIA,50070011,0
50070012,21215,15624580,LARNACA,50070012,1
50030012,21215,15624581,LIMASSOL,50030012,1
50030011,21215,15624582,PAFOS,50030011,0
