service_id,date,exception_type
20881,20250929,1
20881,20250930,1
20881,20251001,1
20881,20251002,1
20881,20251030,1
20881,20251022,1
20881,20251023,1
20881,20251027,1
20881,20251028,1
20881,20251029,1
20881,20251014,1
20881,20251015,1
20881,20251016,1
20881,20251020,1
20881,20251021,1
20881,20251006,1
20881,20251007,1
20881,20251008,1
20881,20251009,1
20881,20251013,1
20882,20250926,1
20882,20251003,1
20882,20251010,1
20882,20251017,1
20882,20251024,1
20882,20251031,1
20883,20250927,1
20883,20251025,1
20883,20251018,1
20883,20251011,1
20883,20251004,1
20884,20250928,1
20884,20251005,1
20884,20251012,1
20884,20251019,1
20884,20251026,1
21889,20250925,1
